#-----------------------------------------------------------
# xsim v2022.1 (64-bit)
# SW Build 3526262 on Mon Apr 18 15:47:01 MDT 2022
# IP Build 3524634 on Mon Apr 18 20:55:01 MDT 2022
# Start of session at: Thu Mar 14 00:42:36 2024
# Process ID: 41358
# Current directory: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc
# Command line: xsim -mode tcl -source {xsim.dir/tb_fsic_xelab/xsim_script.tcl}
# Log file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.log
# Journal file: /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/xsim.jou
# Running On: roy-VirtualBox, OS: Linux, CPU Frequency: 2999.996 MHz, CPU Physical cores: 2, Host memory: 10425 MB
#-----------------------------------------------------------
source xsim.dir/tb_fsic_xelab/xsim_script.tcl
# xsim {tb_fsic_xelab} -autoloadwcfg -tclbatch {log_wave.tcl}
Time resolution is 1 ps
open_wave_config /home/roy/SoC_Lab_S2/caravel-soc_fpga-lab/fsic-sim/fsic_fpga/rtl/user/testbench/tc/tb_fsic_xelab.wcfg
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_MPRJ_IO0/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vccd2 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd1 was not found in the design.
WARNING: Simulation object /tb_fsic/vssd2 was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/edgedetect_done was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/rd_next_state was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_widthIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_heightIn was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_sw_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_rst was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_in was not found in the design.
WARNING: Simulation object /tb_fsic/dut/U_USER_SUBSYS0/U_USRPRJ0/reg_crc32_stream_out was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_rd_ptr_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_up_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/as_aa_tvalid_reg was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/delaynext was not found in the design.
WARNING: Simulation object /tb_fsic/dut/AXIS_SW0/pre_m_axis was not found in the design.
source log_wave.tcl
## log_wave -quiet -verbose -recursive *
## run all
Test#1: FIR initialization from SOC side
fsci_system_initial: TX/RX test
LENGTH =        600
              193225=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000029
              193345=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       324,  soc_to_fpga_axis_captured[       324] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000e4c
              193345=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       324,  soc_to_fpga_axis_captured[       324] =xxxX00000e4c, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000e4c
              193905=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       325,  soc_to_fpga_axis_captured[       325] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000f03
              193905=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       325,  soc_to_fpga_axis_captured[       325] =xxxX00000f03, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000f03
              194465=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       326,  soc_to_fpga_axis_captured[       326] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000fba
              194465=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       326,  soc_to_fpga_axis_captured[       326] =xxxX00000fba, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00000fba
              195025=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       327,  soc_to_fpga_axis_captured[       327] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001071
              195025=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       327,  soc_to_fpga_axis_captured[       327] =xxxX00001071, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001071
              195585=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       328,  soc_to_fpga_axis_captured[       328] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001128
              195585=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       328,  soc_to_fpga_axis_captured[       328] =xxxX00001128, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001128
              196145=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       329,  soc_to_fpga_axis_captured[       329] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000011df
              196145=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       329,  soc_to_fpga_axis_captured[       329] =xxxX000011df, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000011df
              196705=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       330,  soc_to_fpga_axis_captured[       330] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001296
              196705=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       330,  soc_to_fpga_axis_captured[       330] =xxxX00001296, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001296
              197265=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       331,  soc_to_fpga_axis_captured[       331] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000134d
              197265=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       331,  soc_to_fpga_axis_captured[       331] =xxxX0000134d, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000134d
              197825=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       332,  soc_to_fpga_axis_captured[       332] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001404
              197825=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       332,  soc_to_fpga_axis_captured[       332] =xxxX00001404, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001404
              197945=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000002a
              197985=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000002b
              198025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000002c
              198065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000002d
              198105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000002e
              198145=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000002f
              198185=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000030
              198225=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000031
              198265=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000032
              198385=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       333,  soc_to_fpga_axis_captured[       333] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000014bb
              198385=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       333,  soc_to_fpga_axis_captured[       333] =xxxX000014bb, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000014bb
              198945=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       334,  soc_to_fpga_axis_captured[       334] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001572
              198945=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       334,  soc_to_fpga_axis_captured[       334] =xxxX00001572, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001572
              199505=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       335,  soc_to_fpga_axis_captured[       335] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001629
              199505=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       335,  soc_to_fpga_axis_captured[       335] =xxxX00001629, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001629
              200065=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       336,  soc_to_fpga_axis_captured[       336] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000016e0
              200065=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       336,  soc_to_fpga_axis_captured[       336] =xxxX000016e0, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000016e0
              200625=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       337,  soc_to_fpga_axis_captured[       337] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001797
              200625=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       337,  soc_to_fpga_axis_captured[       337] =xxxX00001797, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001797
              201185=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       338,  soc_to_fpga_axis_captured[       338] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000184e
              201185=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       338,  soc_to_fpga_axis_captured[       338] =xxxX0000184e, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000184e
              201745=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       339,  soc_to_fpga_axis_captured[       339] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001905
              201745=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       339,  soc_to_fpga_axis_captured[       339] =xxxX00001905, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001905
              202305=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       340,  soc_to_fpga_axis_captured[       340] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000019bc
              202305=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       340,  soc_to_fpga_axis_captured[       340] =xxxX000019bc, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000019bc
              202865=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       341,  soc_to_fpga_axis_captured[       341] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001a73
              202865=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       341,  soc_to_fpga_axis_captured[       341] =xxxX00001a73, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001a73
              202985=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000033
              203025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000034
              203065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000035
              203105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000036
              203145=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000037
              203185=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000038
              203225=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000039
              203265=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000003a
              203305=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000003b
              203425=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       342,  soc_to_fpga_axis_captured[       342] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001b2a
              203425=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       342,  soc_to_fpga_axis_captured[       342] =xxxX00001b2a, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001b2a
              203985=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       343,  soc_to_fpga_axis_captured[       343] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001be1
              203985=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       343,  soc_to_fpga_axis_captured[       343] =xxxX00001be1, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001be1
              204545=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       344,  soc_to_fpga_axis_captured[       344] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001c98
              204545=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       344,  soc_to_fpga_axis_captured[       344] =xxxX00001c98, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001c98
              205105=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       345,  soc_to_fpga_axis_captured[       345] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001d4f
              205105=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       345,  soc_to_fpga_axis_captured[       345] =xxxX00001d4f, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001d4f
              205665=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       346,  soc_to_fpga_axis_captured[       346] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001e06
              205665=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       346,  soc_to_fpga_axis_captured[       346] =xxxX00001e06, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001e06
              206225=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       347,  soc_to_fpga_axis_captured[       347] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001ebd
              206225=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       347,  soc_to_fpga_axis_captured[       347] =xxxX00001ebd, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001ebd
              206785=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       348,  soc_to_fpga_axis_captured[       348] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001f74
              206785=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       348,  soc_to_fpga_axis_captured[       348] =xxxX00001f74, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00001f74
              207345=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       349,  soc_to_fpga_axis_captured[       349] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000202b
              207345=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       349,  soc_to_fpga_axis_captured[       349] =xxxX0000202b, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=0000202b
              207905=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       350,  soc_to_fpga_axis_captured[       350] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000020e2
              207905=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       350,  soc_to_fpga_axis_captured[       350] =xxxX000020e2, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000020e2
              208025=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000003c
              208065=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000003d
              208105=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000003e
              208145=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 0000003f
              208185=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000040
              208225=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000041
              208265=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000042
              208305=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000043
              208345=> fpga_axis_req send data, fpga_as_is_tupsb = 00000, fpga_as_is_tstrb = 0000, fpga_as_is_tkeep = 0000, fpga_as_is_tlast = 0, fpga_as_is_tdata = 00000044
              208465=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       351,  soc_to_fpga_axis_captured[       351] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00002199
              208465=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       351,  soc_to_fpga_axis_captured[       351] =xxxX00002199, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00002199
              209025=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       352,  soc_to_fpga_axis_captured[       352] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00002250
              209025=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       352,  soc_to_fpga_axis_captured[       352] =xxxX00002250, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00002250
              209585=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       353,  soc_to_fpga_axis_captured[       353] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00002307
              209585=> get soc_to_fpga_axis af : soc_to_fpga_axis_captured_count=       353,  soc_to_fpga_axis_captured[       353] =xxxX00002307, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=00002307
              210145=> get soc_to_fpga_axis be : soc_to_fpga_axis_captured_count=       354,  soc_to_fpga_axis_captured[       354] =xxxxxxxxxxxx, fpga_is_as_tupsb=xx, fpga_is_as_tstrb=x, fpga_is_as_tkeep=x , fpga_is_as_tlast=0, fpga_is_as_tdata=000023be
